Problem,Agent's Answer,Correct?,Correct Answer
Basic Problem B-01,2,Correct,2
Basic Problem B-02,5,Correct,5
Basic Problem B-03,1,Correct,1
Basic Problem B-04,3,Correct,3
Basic Problem B-05,6,Incorrect,4
Basic Problem B-06,5,Correct,5
Basic Problem B-07,6,Correct,6
Basic Problem B-08,6,Correct,6
Basic Problem B-09,3,Incorrect,5
Basic Problem B-10,3,Correct,3
Basic Problem B-11,2,Incorrect,1
Basic Problem B-12,3,Incorrect,1
Basic Problem D-01,3,Correct,3
Basic Problem D-02,1,Correct,1
Basic Problem D-03,3,Correct,3
Basic Problem D-04,1,Correct,1
Basic Problem D-05,1,Incorrect,7
Basic Problem D-06,1,Correct,1
Basic Problem D-07,1,Correct,1
Basic Problem D-08,2,Incorrect,4
Basic Problem D-09,1,Incorrect,3
Basic Problem D-10,1,Correct,1
Basic Problem D-11,1,Incorrect,3
Basic Problem D-12,1,Incorrect,3
Basic Problem E-01,1,Correct,1
Basic Problem E-02,7,Correct,7
Basic Problem E-03,2,Correct,2
Basic Problem E-04,1,Incorrect,8
Basic Problem E-05,1,Incorrect,5
Basic Problem E-06,1,Incorrect,8
Basic Problem E-07,3,Correct,3
Basic Problem E-08,1,Correct,1
Basic Problem E-09,8,Incorrect,7
Basic Problem E-10,2,Incorrect,8
Basic Problem E-11,1,Incorrect,5
Basic Problem E-12,1,Incorrect,6
